Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,4e-05
Sample Interval,3.2e-07
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Label,
TIME,CH1
-3.200e-04,-0.44
-3.197e-04,-0.46
-3.194e-04,-0.46
-3.190e-04,-0.48
-3.187e-04,-0.5
-3.184e-04,-0.5
-3.181e-04,-0.52
-3.178e-04,-0.52
-3.174e-04,-0.54
-3.171e-04,-0.54
-3.168e-04,-0.56
-3.165e-04,-0.58
-3.162e-04,-0.58
-3.158e-04,-0.6
-3.155e-04,-0.6
-3.152e-04,-0.62
-3.149e-04,-0.64
-3.146e-04,-0.64
-3.142e-04,-0.64
-3.139e-04,-0.66
-3.136e-04,-0.68
-3.133e-04,-0.68
-3.130e-04,-0.7
-3.126e-04,-0.7
-3.123e-04,-0.72
-3.120e-04,-0.74
-3.117e-04,-0.74
-3.114e-04,-0.76
-3.110e-04,-0.76
-3.107e-04,-0.78
-3.104e-04,-0.78
-3.101e-04,-0.78
-3.098e-04,-0.8
-3.094e-04,-0.82
-3.091e-04,-0.82
-3.088e-04,-0.84
-3.085e-04,-0.86
-3.082e-04,-0.86
-3.078e-04,-0.86
-3.075e-04,-0.88
-3.072e-04,-0.88
-3.069e-04,-0.9
-3.066e-04,-0.9
-3.062e-04,-0.92
-3.059e-04,-0.94
-3.056e-04,-0.94
-3.053e-04,-0.94
-3.050e-04,-0.96
-3.046e-04,-0.96
-3.043e-04,-0.98
-3.040e-04,-0.98
-3.037e-04,-0.98
-3.034e-04,-1
-3.030e-04,-1.02
-3.027e-04,-1.02
-3.024e-04,-1.04
-3.021e-04,-1.04
-3.018e-04,-1.04
-3.014e-04,-1.06
-3.011e-04,-1.08
-3.008e-04,-1.06
-3.005e-04,-1.06
-3.002e-04,-1.04
-2.998e-04,-1.02
-2.995e-04,-1.02
-2.992e-04,-1
-2.989e-04,-0.98
-2.986e-04,-0.96
-2.982e-04,-0.94
-2.979e-04,-0.92
-2.976e-04,-0.92
-2.973e-04,-0.9
-2.970e-04,-0.88
-2.966e-04,-0.86
-2.963e-04,-0.86
-2.960e-04,-0.82
-2.957e-04,-0.8
-2.954e-04,-0.8
-2.950e-04,-0.78
-2.947e-04,-0.76
-2.944e-04,-0.76
-2.941e-04,-0.74
-2.938e-04,-0.72
-2.934e-04,-0.72
-2.931e-04,-0.68
-2.928e-04,-0.68
-2.925e-04,-0.66
-2.922e-04,-0.64
-2.918e-04,-0.64
-2.915e-04,-0.62
-2.912e-04,-0.6
-2.909e-04,-0.58
-2.906e-04,-0.56
-2.902e-04,-0.56
-2.899e-04,-0.54
-2.896e-04,-0.52
-2.893e-04,-0.5
-2.890e-04,-0.5
-2.886e-04,-0.48
-2.883e-04,-0.46
-2.880e-04,-0.44
-2.877e-04,-0.42
-2.874e-04,-0.42
-2.870e-04,-0.4
-2.867e-04,-0.38
-2.864e-04,-0.36
-2.861e-04,-0.36
-2.858e-04,-0.34
-2.854e-04,-0.32
-2.851e-04,-0.32
-2.848e-04,-0.3
-2.845e-04,-0.28
-2.842e-04,-0.28
-2.838e-04,-0.26
-2.835e-04,-0.24
-2.832e-04,-0.24
-2.829e-04,-0.2
-2.826e-04,-0.2
-2.822e-04,-0.2
-2.819e-04,-0.18
-2.816e-04,-0.16
-2.813e-04,-0.14
-2.810e-04,-0.14
-2.806e-04,-0.12
-2.803e-04,-0.1
-2.800e-04,-0.1
-2.797e-04,-0.08
-2.794e-04,-0.06
-2.790e-04,-0.06
-2.787e-04,-0.04
-2.784e-04,-0.02
-2.781e-04,-0.02
-2.778e-04,0
-2.774e-04,0
-2.771e-04,0.02
-2.768e-04,0.04
-2.765e-04,0.04
-2.762e-04,0.06
-2.758e-04,0.08
-2.755e-04,0.1
-2.752e-04,0.12
-2.749e-04,0.12
-2.746e-04,0.14
-2.742e-04,0.16
-2.739e-04,0.16
-2.736e-04,0.18
-2.733e-04,0.2
-2.730e-04,0.2
-2.726e-04,0.22
-2.723e-04,0.24
-2.720e-04,0.24
-2.717e-04,0.26
-2.714e-04,0.26
-2.710e-04,0.28
-2.707e-04,0.3
-2.704e-04,0.3
-2.701e-04,0.32
-2.698e-04,0.32
-2.694e-04,0.34
-2.691e-04,0.36
-2.688e-04,0.36
-2.685e-04,0.38
-2.682e-04,0.4
-2.678e-04,0.4
-2.675e-04,0.42
-2.672e-04,0.42
-2.669e-04,0.44
-2.666e-04,0.44
-2.662e-04,0.46
-2.659e-04,0.48
-2.656e-04,0.48
-2.653e-04,0.5
-2.650e-04,0.5
-2.646e-04,0.52
-2.643e-04,0.52
-2.640e-04,0.54
-2.637e-04,0.54
-2.634e-04,0.56
-2.630e-04,0.58
-2.627e-04,0.58
-2.624e-04,0.6
-2.621e-04,0.6
-2.618e-04,0.62
-2.614e-04,0.64
-2.611e-04,0.64
-2.608e-04,0.66
-2.605e-04,0.66
-2.602e-04,0.68
-2.598e-04,0.7
-2.595e-04,0.7
-2.592e-04,0.7
-2.589e-04,0.72
-2.586e-04,0.74
-2.582e-04,0.76
-2.579e-04,0.76
-2.576e-04,0.78
-2.573e-04,0.78
-2.570e-04,0.8
-2.566e-04,0.8
-2.563e-04,0.82
-2.560e-04,0.82
-2.557e-04,0.8
-2.554e-04,0.78
-2.550e-04,0.76
-2.547e-04,0.74
-2.544e-04,0.72
-2.541e-04,0.72
-2.538e-04,0.7
-2.534e-04,0.68
-2.531e-04,0.66
-2.528e-04,0.64
-2.525e-04,0.64
-2.522e-04,0.62
-2.518e-04,0.6
-2.515e-04,0.6
-2.512e-04,0.58
-2.509e-04,0.56
-2.506e-04,0.54
-2.502e-04,0.52
-2.499e-04,0.5
-2.496e-04,0.5
-2.493e-04,0.48
-2.490e-04,0.48
-2.486e-04,0.46
-2.483e-04,0.44
-2.480e-04,0.42
-2.477e-04,0.42
-2.474e-04,0.4
-2.470e-04,0.38
-2.467e-04,0.36
-2.464e-04,0.36
-2.461e-04,0.34
-2.458e-04,0.32
-2.454e-04,0.3
-2.451e-04,0.3
-2.448e-04,0.28
-2.445e-04,0.28
-2.442e-04,0.26
-2.438e-04,0.24
-2.435e-04,0.22
-2.432e-04,0.22
-2.429e-04,0.2
-2.426e-04,0.18
-2.422e-04,0.16
-2.419e-04,0.16
-2.416e-04,0.14
-2.413e-04,0.14
-2.410e-04,0.12
-2.406e-04,0.1
-2.403e-04,0.08
-2.400e-04,0.08
-2.397e-04,0.06
-2.394e-04,0.04
-2.390e-04,0.04
-2.387e-04,0.02
-2.384e-04,0
-2.381e-04,0
-2.378e-04,-0.02
-2.374e-04,-0.04
-2.371e-04,-0.04
-2.368e-04,-0.06
-2.365e-04,-0.06
-2.362e-04,-0.08
-2.358e-04,-0.08
-2.355e-04,-0.1
-2.352e-04,-0.1
-2.349e-04,-0.12
-2.346e-04,-0.14
-2.342e-04,-0.16
-2.339e-04,-0.16
-2.336e-04,-0.18
-2.333e-04,-0.18
-2.330e-04,-0.2
-2.326e-04,-0.2
-2.323e-04,-0.22
-2.320e-04,-0.24
-2.317e-04,-0.24
-2.314e-04,-0.26
-2.310e-04,-0.28
-2.307e-04,-0.28
-2.304e-04,-0.3
-2.301e-04,-0.32
-2.298e-04,-0.32
-2.294e-04,-0.34
-2.291e-04,-0.34
-2.288e-04,-0.36
-2.285e-04,-0.38
-2.282e-04,-0.38
-2.278e-04,-0.4
-2.275e-04,-0.42
-2.272e-04,-0.42
-2.269e-04,-0.44
-2.266e-04,-0.44
-2.262e-04,-0.46
-2.259e-04,-0.48
-2.256e-04,-0.48
-2.253e-04,-0.5
-2.250e-04,-0.52
-2.246e-04,-0.52
-2.243e-04,-0.52
-2.240e-04,-0.54
-2.237e-04,-0.54
-2.234e-04,-0.56
-2.230e-04,-0.56
-2.227e-04,-0.58
-2.224e-04,-0.6
-2.221e-04,-0.6
-2.218e-04,-0.62
-2.214e-04,-0.62
-2.211e-04,-0.62
-2.208e-04,-0.64
-2.205e-04,-0.66
-2.202e-04,-0.68
-2.198e-04,-0.68
-2.195e-04,-0.7
-2.192e-04,-0.7
-2.189e-04,-0.7
-2.186e-04,-0.72
-2.182e-04,-0.74
-2.179e-04,-0.74
-2.176e-04,-0.76
-2.173e-04,-0.76
-2.170e-04,-0.78
-2.166e-04,-0.78
-2.163e-04,-0.8
-2.160e-04,-0.8
-2.157e-04,-0.82
-2.154e-04,-0.84
-2.150e-04,-0.84
-2.147e-04,-0.84
-2.144e-04,-0.86
-2.141e-04,-0.86
-2.138e-04,-0.88
-2.134e-04,-0.9
-2.131e-04,-0.9
-2.128e-04,-0.92
-2.125e-04,-0.92
-2.122e-04,-0.94
-2.118e-04,-0.94
-2.115e-04,-0.94
-2.112e-04,-0.96
-2.109e-04,-0.96
-2.106e-04,-0.98
-2.102e-04,-0.98
-2.099e-04,-1
-2.096e-04,-1.02
-2.093e-04,-1.02
-2.090e-04,-1.04
-2.086e-04,-1.04
-2.083e-04,-1.04
-2.080e-04,-1.06
-2.077e-04,-1.06
-2.074e-04,-1.06
-2.070e-04,-1.06
-2.067e-04,-1.06
-2.064e-04,-1.04
-2.061e-04,-1.02
-2.058e-04,-1.02
-2.054e-04,-1
-2.051e-04,-0.98
-2.048e-04,-0.96
-2.045e-04,-0.94
-2.042e-04,-0.92
-2.038e-04,-0.9
-2.035e-04,-0.88
-2.032e-04,-0.88
-2.029e-04,-0.86
-2.026e-04,-0.84
-2.022e-04,-0.82
-2.019e-04,-0.8
-2.016e-04,-0.8
-2.013e-04,-0.78
-2.010e-04,-0.76
-2.006e-04,-0.74
-2.003e-04,-0.74
-2.000e-04,-0.72
-1.997e-04,-0.7
-1.994e-04,-0.68
-1.990e-04,-0.66
-1.987e-04,-0.66
-1.984e-04,-0.64
-1.981e-04,-0.62
-1.978e-04,-0.62
-1.974e-04,-0.6
